Date,Hour Range,Range High,Range Low
13-02-2026,01.30-07.30,1.18740,1.18535
12-02-2026,09-15,1.18880,1.18675
11-02-2026,01.30-07.30,1.19260,1.18940
10-02-2026,09-15,1.19200,1.18885
09-02-2026,09-15,1.19060,1.18520
06-02-2026,09-15,1.18115,1.17860
05-02-2026,09-15,1.18160,1.17805
05-02-2026,01.30-07.30,1.18085,1.17830
04-02-2026,09-15,1.18380,1.18050
04-02-2026,01.30-07.30,1.18365,1.18210
03-02-2026,09-15,1.18180,1.17805
03-02-2026,01.30-07.30,1.18245,1.18010
02-02-2026,09-15,1.18715,1.18075
02-02-2026,00-06,1.19435,1.18950
30-01-2026,09-15,1.19550,1.18985
30-01-2026,00-06,1.19750,1.18750
